 ,Area,XM,YM,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1722.037,1574.993,23.378,57.1,38.399,31.861,59.417,2199,52,31.43,40.331
2,1949.625,1465.771,23.78,61.725,40.216,23.591,64.633,2041,52,29.358,40.646
3,1552.461,1689.74,22.539,54.343,36.374,19.704,57.28,2363,45,20.886,38.3
4,2031.934,593.819,67.458,60.058,43.077,73.323,60.778,828,138,79.992,43.405
5,2051.768,825.671,65.894,54.424,48,48.526,56.902,1136,104,12.144,49.278
6,1691.295,362.456,59.91,56.736,37.955,18.702,58.922,476,98,14.534,39.622
7,1623.366,236.812,59.43,53.512,38.626,7.466,54.996,300,94,13.325,39.433
8,2077.551,707.212,66.644,62.788,42.13,39.803,63.612,965,116,26.281,42.428
9,1982.846,484.698,67.117,58.494,43.161,32.281,60.414,648,109,21.181,44.643
10,1969.459,947.7,78.501,61.705,40.639,47.85,63.565,1310,136,39.155,42.323
11,1803.354,101.369,72.495,58.474,39.267,4.393,59.658,102,107,11.575,38.729
12,2050.776,1054.827,94.788,59.27,44.055,51.646,60.414,1468,165,49.254,45.31
13,2349.765,1275.338,111.719,75.777,39.482,55.846,76.782,1782,201,54.707,41.702
14,2164.322,1160.14,110.543,71.515,38.533,50.043,73.933,1608,192,49.635,39.883
15,2361.169,1723.731,123.972,75.582,39.776,40.348,76.911,2406,206,40.544,41.403
16,2168.785,1385.727,124.73,64.458,42.84,58.111,66.059,1940,211,54.107,43.457
17,2275.885,1606.158,129.734,67.211,43.114,63.451,68.654,2265,230,68.962,44.03
18,2083.501,1498.066,143.78,57.13,46.435,61.115,60.019,2108,239,58.921,48.298
19,2077.551,283.574,156.851,58.761,45.017,45.555,59.291,373,253,37.278,44.314
20,2352.74,164.447,165.313,62.821,47.685,27.235,63.811,188,249,22.036,48.889
21,2161.843,413.872,165.74,54.931,50.109,115.209,55.908,556,211,139.086,50.699
22,2238.698,30.55,171.295,59.587,47.836,66.108,60.672,22,283,68.199,48.886
23,2327.452,750.977,173.645,63.328,46.795,59.646,66.224,1037,283,54.958,47.217
24,2214.402,526.816,182.368,66.981,42.094,88.227,67.731,745,212,93.576,42.203
25,2113.747,865.786,182.982,59.46,45.262,108.046,60.085,1219,218,100.125,46.525
26,2036.397,629.462,194.651,65.716,39.455,48.655,65.034,862,313,56.482,40.829
27,2279.356,982.417,206.904,67.944,42.714,60.829,68.549,1368,333,56.31,43.666
28,2263.489,1191.321,226.477,71.859,40.106,49.997,72.258,1660,362,52.125,40.583
29,2392.407,1305.145,229.587,64.446,47.266,48.442,64.736,1819,354,44.119,47.302
30,2355.715,1760.019,238.97,66.275,45.256,68.537,67.459,2473,378,53.489,45.186
31,2362.656,1421.803,249.809,59.476,50.579,82.015,60.562,2003,393,66.714,50.699
32,1972.93,1078.44,253.449,59.972,41.887,140.864,60.278,1495,339,142.595,41.503
33,2332.411,1637.351,258.084,59.713,49.733,64.747,64.863,2302,408,57.863,51.783
34,2413.728,89.56,274.438,59.318,51.81,132.537,63.021,92,364,140.44,53.738
35,2339.848,322.925,272.903,64.067,46.501,22.29,63.954,417,404,20.63,45.825
36,2013.092,207.262,280.074,52.88,48.471,67.012,53.742,280,434,68.477,48.766
37,2084.989,453.231,281.079,52.54,50.527,130.372,54.11,621,369,124.931,51.169
38,2244.648,1529.757,287.025,57.833,49.418,93.078,58.343,2153,445,60.341,49.715
39,1375.944,813.405,303.666,51.965,33.713,79.725,53.724,1149,470,79.426,34.913
40,1631.299,652.271,310.559,47.53,43.699,153.24,48.912,898,424,149.744,43.816
41,2741.475,917.343,324.03,77.313,45.148,37.046,79.896,1255,496,34.951,47.093
42,1956.071,1230.302,336.146,62.361,39.938,58.139,63.954,1726,517,61.742,40.775
43,1430.486,1700.892,343.118,44.664,40.779,109.172,45.77,2406,456,112.62,41.369
44,1018.446,1152.806,341.943,43.216,30.006,80.691,43.68,1629,515,69.228,30.273
45,2932.867,1023.398,375.221,86.995,42.925,62.418,90.33,1419,587,59.036,47.102
46,2079.534,530.375,362.017,61.798,42.845,11.739,62.507,712,532,22.521,43.658
47,2155.397,251.968,393.751,63.2,43.423,73.749,64.92,343,603,77.471,45.291
48,2256.548,1457.951,389.228,57.663,49.827,172.99,62.038,2033,529,153.726,48.448
49,1605.02,353.094,391.564,51.964,39.327,88.456,53.167,493,593,78.541,40.137
50,2161.843,138.753,395.325,57.941,47.506,55.373,59.571,173,596,61.011,49.047
51,2173.743,739.469,402.537,63.571,43.537,42.403,63.892,1016,603,31.938,45.187
52,2367.119,1569.943,424.151,61.181,49.262,40.692,64.325,2191,628,41.894,50.961
53,2119.697,622.16,444.266,56.498,47.769,54.603,57.895,857,662,48.945,48.664
54,2439.015,913.849,449.475,65.402,47.482,105.021,65.638,1288,594,99.26,49.875
55,2398.852,1247.297,460.638,66.418,45.986,29.777,68.027,1733,680,36.158,46.187
56,2314.56,1758.138,465.159,64.525,45.672,46.628,65.845,2466,695,48.468,45.489
57,1944.667,1078.473,471.193,56.611,43.738,87.648,57.314,1524,710,79.38,44.362
58,2305.14,1357.73,486.971,67.243,43.648,60.015,69.939,1900,727,57.75,47.501
59,2245.143,510.675,484.909,56.036,51.014,3.75,57.383,686,704,29.396,51.403
60,2049.288,67.179,506.14,58.583,44.539,77.141,59.521,82,760,79.089,45.066
61,2214.402,809.278,504.748,55.436,50.86,132.037,57.189,1119,690,142.001,51.015
62,2245.143,396.738,510.742,67.951,42.069,58.003,70.317,535,770,57.265,44.458
63,2222.335,176.608,512.715,60.989,46.394,69.739,63.001,230,767,62.003,46.505
64,2196.552,283.768,524.324,60.161,46.487,76.502,61.488,381,783,60.499,47.674
65,2234.235,695.83,538.826,63.744,44.627,70.082,63.706,970,806,66.552,45.425
66,2092.426,1455.621,534.266,55.219,48.247,21.929,57.797,2031,777,22.19,49.869
67,2396.869,1160.795,549.239,60.556,50.396,75.816,62.173,1642,823,76.908,50.642
68,2139.53,992.758,550.143,65.111,41.838,51.153,67.028,1385,822,58.314,43.318
69,2401.828,1562.555,556.011,72.764,42.028,59.185,72.148,2200,837,65.186,42.059
70,2190.106,582.72,577.723,60.847,45.829,53.786,61.136,805,855,57.225,47.542
71,2322.494,1672.592,580.595,60.229,49.098,27.187,62.193,2334,841,30.63,48.636
72,2202.997,1267.602,587.818,54.526,51.442,70.869,59.417,1783,869,58.57,52.495
73,2246.631,889.513,593.465,62.021,46.121,123.773,62.253,1228,820,142.352,46.619
74,2180.685,467.595,606.241,60.846,45.632,159.944,62.102,626,840,150.819,45.798
75,2300.677,109.811,625.491,59.445,49.277,52.246,60.623,134,926,59.265,50.398
76,2251.589,1374.856,633.601,73.995,38.743,51.711,72.405,1918,940,49.338,40.506
77,2135.068,778.93,633.189,60.601,44.859,44.203,62.134,1074,931,38.558,46.306
78,2251.589,341.581,639.698,65.663,43.659,47.877,65.346,448,938,37.117,44.314
79,2370.59,1077.789,645.392,72.336,41.726,47.133,71.948,1506,961,49.764,41.81
80,2434.553,1470.855,663.785,87.715,35.339,51.33,90.157,2049,987,46.582,36.716
81,2456.369,656.511,671.775,64.451,48.526,48.783,66.093,905,991,51.054,50.696
82,2609.087,1574.261,690.904,77.193,43.035,63.192,77.358,2206,1028,55.008,43.453
83,2333.402,1170.376,692.674,74.021,40.137,52.857,74.121,1627,1022,51.17,40.249
84,2286.794,537.696,706.379,60.22,48.35,92.689,62.006,754,961,105.141,47.883
85,2434.553,1682.95,707.091,66.448,46.65,47.815,68.867,2363,1041,52.896,50.145
86,1979.871,962.241,708.732,53.919,46.753,27.172,55.239,1328,1019,17.049,47.802
87,2188.122,849.184,729.035,59.664,46.695,136.082,60.594,1173,1007,141.132,47.547
88,1645.182,431.78,734.187,53.001,39.522,70.65,54.589,589,1075,59.797,39.32
89,2210.435,1276.245,741.714,61.382,45.851,89.184,63.69,1802,1010,95.711,47.163
90,2269.935,137.081,754.048,59.364,48.685,65.388,59.637,178,1109,67.068,48.811
91,2093.914,247.92,758.285,61.48,43.365,41.234,63.927,317,1107,40.533,44.667
92,2174.239,732.026,766.545,59.492,46.533,42.353,60.594,1007,1116,38.868,47.291
93,2307.123,1373.285,785.059,75.561,38.876,48.134,76.65,1913,1154,51.34,39.627
94,2422.653,1050.975,781.875,93.666,32.932,28.665,91.435,1440,1149,32.099,35.399
95,2661.15,1478.056,805.495,74.72,45.346,66.371,74.972,2071,1188,61.991,47.283
96,2215.889,612.077,802.067,60.699,46.481,40.611,63.253,836,1169,43.647,47.302
97,2495.045,1587.51,826.27,76.405,41.578,50.291,77.729,2225,1216,56.454,43.235
98,1852.442,1189.261,832.597,61.079,38.616,71.643,61.245,1671,1222,70.523,39.324
99,2170.768,920.819,830.652,60.635,45.583,33.304,63.347,1268,1195,24.286,46.804
100,2500.995,1698.288,838.432,68.76,46.311,52.74,69.995,2385,1231,53.591,47.866
101,2175.231,496.82,837.145,56.918,48.66,79.161,57.938,690,1227,69.362,49.995
102,2135.068,804.607,857.065,53.418,50.891,60.128,55.771,1118,1247,52.696,51.403
103,2203.493,388.223,867.455,59.023,47.534,89.673,61.33,540,1273,77.4,49.101
104,2113.251,63.277,870.961,64.667,41.608,108.921,65.774,76,1191,105.524,43.57
105,2246.135,276.557,883.888,64.909,44.06,76.862,65.331,387,1299,82.569,45.032
106,2159.364,165.502,896.5,62.05,44.309,64.067,62.325,209,1309,57.926,44.954
107,2390.919,1096.818,901.315,64.271,47.365,89.741,65.792,1549,1232,95.528,47.883
108,2136.555,688.255,896.139,58.852,46.224,45.89,59.758,946,1302,44.045,46.804
109,2155.397,1276.113,903.12,63.956,42.91,54.073,63.523,1794,1323,58.601,42.339
110,2282.331,1385.576,915.55,71.253,40.784,46.71,72.757,1929,1334,42.647,41.611
111,2302.165,988.431,936.671,56.089,52.26,101.924,58.19,1391,1365,68.714,53.22
112,2334.89,1495.186,936.812,60.766,48.924,59.945,63.06,2112,1370,66.297,51.246
