Feret,,Feret
0.095,,95
0.084,,84
0.067,,67
0.086,,86
0.099,,99
0.096,,96
0.084,,84
0.091,,91
0.099,,99
0.089,,89
0.106,,106
0.091,,91
0.096,,96
0.096,,96
0.083,,83
0.097,,97
0.091,,91
0.099,,99
0.091,,91
0.079,,79
0.084,,84
0.084,,84
0.094,,94
0.092,,92
0.096,,96
0.125,,125
0.087,,87
0.079,,79
0.092,,92
0.107,,107
0.057,,57
0.094,,94
0.104,,104
0.101,,101
0.102,,102
0.044,,44
0.093,,93
0.087,,87
0.095,,95
0.104,,104
0.103,,103
0.096,,96
0.079,,79
0.098,,98
0.096,,96
0.076,,76
0.075,,75
0.092,,92
0.079,,79
0.099,,99
0.101,,101
0.119,,119
0.103,,103
0.09,,90
0.094,,94
0.099,,99
0.09,,90
0.101,,101
0.096,,96
0.091,,91
0.087,,87
0.108,,108
0.092,,92
0.091,,91
0.076,,76
0.09,,90
0.087,,87
0.133,,133
0.095,,95
0.104,,104
0.07,,70
0.099,,99
0.094,,94
0.09,,90
0.079,,79
0.107,,107
0.089,,89
0.095,,95
0.087,,87
0.118,,118
0.101,,101
0.096,,96
0.086,,86
0.142,,142
0.089,,89
0.079,,79
0.075,,75
0.116,,116
0.099,,99
0.098,,98
0.092,,92
0.091,,91
0.107,,107
0.103,,103
0.1,,100
0.104,,104
0.081,,81
0.08,,80
0.084,,84
0.064,,64
0.101,,101
0.091,,91
0.052,,52
0.078,,78
0.104,,104
0.114,,114
0.091,,91
0.072,,72
0.087,,87
0.103,,103
0.089,,89
0.099,,99
0.094,,94
0.091,,91
0.085,,85
0.095,,95
0.071,,71
0.136,,136
0.107,,107
0.087,,87
0.072,,72
0.086,,86
0.081,,81
0.098,,98
0.087,,87
0.094,,94
0.125,,125
0.108,,108
0.092,,92
0.095,,95
0.126,,126
0.091,,91
0.082,,82
0.075,,75
0.07,,70
0.117,,117
0.087,,87
0.064,,64
0.106,,106
0.077,,77
0.064,,64
0.089,,89
0.077,,77
0.097,,97
0.082,,82
0.089,,89
0.099,,99
0.094,,94
0.102,,102
0.079,,79
0.078,,78
0.061,,61
0.09,,90
0.096,,96
0.099,,99
0.096,,96
0.077,,77
0.075,,75
0.086,,86
0.07,,70
0.094,,94
0.079,,79
0.07,,70
0.07,,70
0.091,,91
0.084,,84
0.103,,103
0.11,,110
0.131,,131
0.119,,119
0.107,,107
0.096,,96
0.091,,91
0.093,,93
0.094,,94
0.11,,110
0.079,,79
0.075,,75
0.072,,72
0.079,,79
0.09,,90
0.103,,103
0.072,,72
0.092,,92
0.09,,90
0.107,,107
0.096,,96
0.079,,79
0.096,,96
0.086,,86
0.07,,70
0.113,,113
0.067,,67
0.121,,121
0.08,,80
0.096,,96
0.091,,91
0.095,,95
0.089,,89
0.072,,72
0.108,,108
0.099,,99
0.133,,133
0.098,,98
0.082,,82
0.103,,103
0.084,,84
0.047,,47
0.107,,107
0.087,,87
0.054,,54
0.079,,79
0.083,,83
0.087,,87
0.096,,96
0.095,,95
0.076,,76
0.087,,87
0.085,,85
0.104,,104
0.078,,78
0.096,,96
0.102,,102
0.092,,92
0.101,,101
0.101,,101
0.096,,96
0.096,,96
0.059,,59
0.096,,96
0.082,,82
0.086,,86
0.126,,126
0.094,,94
0.101,,101
0.098,,98
0.084,,84
0.095,,95
0.078,,78
0.107,,107
0.115,,115
0.067,,67
0.081,,81
0.085,,85
0.082,,82
0.095,,95
0.104,,104
0.081,,81
0.081,,81
0.122,,122
0.092,,92
0.059,,59
0.11,,110
0.094,,94
0.101,,101
0.102,,102
0.089,,89
0.081,,81
0.084,,84
0.101,,101
0.091,,91
0.135,,135
0.035,,35
0.087,,87
0.075,,75
0.106,,106
0.099,,99
0.107,,107
0.121,,121
0.091,,91
0.101,,101
0.054,,54
0.086,,86
0.096,,96
